# Descriptions truncated to 500 chars. Full text in geojson/sites.geojson
id,internal_key,name,alternate_names,category,territory,modern_location,lordship,lat,lon,coordinate_precision,fortified_status,visible_remains,harbor,description_truncated,image,wikipedia_en,wikipedia_he
acre,ACRE,Acre,'Akka,capital,Israel,"Acre, Israel",Royal Domain - Acre,32.9208,35.0694,exact,definite,unknown,true,"Acre was the Crusaders' greatest port. Like Jerusalem, it fell to Saladin in 1187; but the Third Crusade recovered it in 1191, and from then until 1291 it served as the de facto capital of the Kingdom of Jerusalem — exactly a hundred years. The siege that restored it, begun by Guy of Lusignan in August 1189 and completed by Richard the Lionheart and Philip II of France in July 1191, was the longest of the Crusades. A quarrel over banners nearly broke the crusade in half at its end: Leopold V of ...",המצודה_בעכו_בפנים.jpg,"https://en.wikipedia.org/wiki/Acre,_Israel",https://he.wikipedia.org/wiki/%D7%A2%D7%9B%D7%95
jerusalem,Jerusalem,Jerusalem,al-Quds; Hierusalem; Yerushalayim; Royal Domain of Jerusalem,capital,Israel,"Old City, Jerusalem",Royal Domain - Jerusalem,31.77833,35.23556,approximate,definite,yes,false,"Jerusalem was the spiritual and political heart of the Crusader Kingdom from its bloody capture by Godfrey of Bouillon's army on 15 July 1099 until its surrender to Saladin in early October 1187, three months after the Frankish defeat at the Horns of Hattin on 4 July. The garrison, swollen by refugees, held out for about twelve days before Balian of Ibelin negotiated the city's surrender. Godfrey refused the title of king, styling himself Advocatus Sancti Sepulchri — Defender of the Holy Sepulch...",Friedrich_II._mit_Sultan_al-Kamil.jpg,https://en.wikipedia.org/wiki/Kingdom_of_Jerusalem,https://he.wikipedia.org/wiki/%D7%9E%D7%9E%D7%9C%D7%9B%D7%AA_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D
ateret-fortress-chastelet-vadum-iacob,Qasr al-'Atra,Ateret Fortress (Chastelet / Vadum Iacob),Chastelet; le Chastelez; Vadum Iacob; Mezad Ateret; Ateret Fortress,major_castle,Israel,"Ateret Fortress, Israel",Principality of Galilee,33.0085,35.6297,exact,definite,yes,false,"The Castle of Jacob's Ford — Chastelet or Vadum Iacob — was a brand-new castle that King Baldwin IV began in 1178 on a mound beside the Jordan, at the point where the river could be forded on the road from Galilee to Damascus. Saladin attacked it in August 1179 before it was finished, and destroyed it after a short siege; hundreds of Templars were killed or captured. Israeli excavations have uncovered the unfinished fortifications and the bodies of the defenders exactly where they fell. The site...",Ateret_general_view.JPG,https://en.wikipedia.org/wiki/Jacob%27s_Ford,https://he.wikipedia.org/wiki/%D7%9E%D7%A6%D7%93_%D7%A2%D7%AA%D7%A8%D7%AA
atlit-chateau-pelerin,Atlit,Atlit (Château Pèlerin),Athlith; Pilgrims' Castle; Castrum Peregrinorum; Chastiau Pelerin; Castrum Filit Det,major_castle,Israel,"Atlit, Israel",Lordship of Caesarea,32.705,34.9343,exact,definite,yes,true,"Atlit — the Castle of the Pilgrims (Château Pèlerin) — was built by the Templars from 1217 on a narrow sea-girt promontory south of Haifa, and became one of the largest and most sophisticated Crusader castles ever constructed. Its double landward walls, sea-level rock-cut ditch and massive inner towers made it essentially impregnable: it was the last Frankish stronghold on the Levantine mainland, evacuated only in August 1291, three months after Acre had already fallen. The site is now a closed ...",Atlit_fortress001.jpg,https://en.wikipedia.org/wiki/Ch%C3%A2teau_P%C3%A8lerin,https://he.wikipedia.org/wiki/%D7%9E%D7%91%D7%A6%D7%A8_%D7%A2%D7%AA%D7%9C%D7%99%D7%AA
bait-jibrin-beit-guvrin,Bait Jibrin,Bait Jibrin (Beit Guvrin),Bethgibelin; Beit Gibelin; Bersabea; Gybelin; Ybelin Hospitalariorum; Bet Guvrin; Eleutheropolis,major_castle,Israel,"Beit Guvrin, Israel",Royal Domain - Jerusalem,31.6069,34.8983,exact,definite,yes,false,"Known to the Crusaders as Bethgibelin, this was one of four castles built around Ascalon in the 1130s to strangle the Fatimid garrison there. Granted to the Knights Hospitaller in 1136, it was a concentric fortress with a 50-metre-square inner ward and projecting corner towers. The castle fell to Saladin after Hattin in 1187 and was permanently lost to the Franks. Its ruins are preserved in Beit Guvrin-Maresha National Park, alongside Byzantine churches and vast bell-shaped caves.",Beyt-Govrin-346.jpg,https://en.wikipedia.org/wiki/Beit_Jibrin,https://he.wikipedia.org/wiki/%D7%91%D7%99%D7%AA_%D7%92%27%D7%99%D7%91%D7%A8%D7%99%D7%9F
belmont-castle-suba-tzova,SUBA,Belmont Castle (Suba / Tzova),Belmont; Zova,major_castle,Israel,"Tzova, Israel",Royal Domain - Jerusalem,31.7913,35.12,exact,definite,unknown,false,"Belmont Castle was a Hospitaller fortress built in the 1160s on a hill west of Jerusalem, dominating the approach roads from the coastal plain. It had a rectangular inner ward, a polygonal outer ward, stables, a wine-press, cisterns and a vaulted passage down to its spring. Lost to Saladin after Hattin and never recovered by the Franks, its extensive ruins are today in a forested area above Kibbutz Tzuba.",Belmont_Castle.jpg,https://en.wikipedia.org/wiki/Suba_(village),https://he.wikipedia.org/wiki/%D7%A6%D7%95%D7%91%D7%94
belvoir-castle,BELVOIR CASTLE,Belvoir Castle,"Kaukab al-Hawa; Belvoir, Coquet",major_castle,Israel,"Belvoir Fortress, Israel",Principality of Galilee,32.5957,35.5191,exact,definite,unknown,false,"Belvoir — Kokhav HaYarden in Hebrew — is the best-preserved Crusader concentric castle in Israel. Perched 500 metres above the Jordan Valley, the Hospitaller fortress withstood an eighteen-month Ayyubid siege after the disaster at Hattin in 1187 and only surrendered on honourable terms in 1189, when the defenders were allowed to march out with their arms. Its massive walls, dry moat, inner and outer wards, and rounded corner towers are today the centrepiece of an Israeli national park.",Bellvoir_Israel.jpg,https://en.wikipedia.org/wiki/Belvoir_Fortress,https://he.wikipedia.org/wiki/%D7%9B%D7%95%D7%9B%D7%91_%D7%94%D7%99%D7%A8%D7%93%D7%9F
givat-titora,Givat Titora / Qalaat al-Tantura,Givat Titora,Qalaat al-Tantura; Qul'at al-Tantura; Titora Hill,major_castle,Israel,"Givat Titora, Modi'in, Israel",County of Jaffa and Ascalon,31.90269,35.02079,approximate,probable,partial,false,"A small castle or road fortress above the Modi'in plain, known in Arabic as Qal'at al-Tantura and in Hebrew as Tel Titora. It likely guarded the road from the coastal plain up to Jerusalem. The masonry remains are modest but occupy a prominent hill now in the middle of modern Modi'in-Maccabim-Re'ut.",Givat_Titora.jpg,https://en.wikipedia.org/wiki/Modi%27in,https://he.wikipedia.org/wiki/%D7%92%D7%91%D7%A2%D7%AA_%D7%94%D7%AA%D7%99%D7%AA%D7%95%D7%A8%D7%94
ibillin,Ibillin,Ibillin,Abelina; Evlayim,major_castle,Israel,"Ibillin, Israel",Royal Domain - Acre,32.8224,35.192158,approximate,probable,unknown,false,The Frankish castle of Abelina stood on a hill above the modern Galilean town of Ibillin. It consisted of a central tower with a twin barrel-vaulted basement inside an enclosing wall; the rounded outer towers visible today are mostly later additions. The lordship of Abelina belonged to the influential Ibelin family for much of the twelfth century.,Ibillin.jpg,https://en.wikipedia.org/wiki/I%27billin,https://he.wikipedia.org/wiki/%D7%90%D7%A2%D7%91%D7%9C%D7%99%D7%9F
jezreel-tel-yizreel,JEZREEL,Jezreel (Tel Yizre'el),Zir'in; Gezrael; Jezrael; Parvum Gerinum; Zaratn; Tel Yizra'el,major_castle,Israel,"Tel Jezreel, Israel",Principality of Galilee,32.557853,35.327953,approximate,definite,unknown,false,Tel Yizre'el overlooks the Jezreel Valley from a strategic ridge and had a small Crusader castle that belonged to the Templars by the 1180s. The valley was one of the main east-west corridors of the kingdom and was the route Saladin's army took in the summer of 1187 toward the disaster at Hattin.,"Tel Jezreel, Israel crusader tower.jpg",https://en.wikipedia.org/wiki/Tel_Jezreel,https://he.wikipedia.org/wiki/%D7%AA%D7%9C%20%D7%99%D7%96%D7%A8%D7%A2%D7%90%D7%9C
