# Body text and see_also omitted. Full content in json/glossary.json
id,name,category,subcategory,era,also_known_as,short,source,ruler_id,image_url,wikipedia_en,wikipedia_he
haute-cour,Haute Cour,society,law,c. 1100–1291,High Court; Curia Regis; Court of Barons,The supreme feudal council of the Kingdom of Jerusalem — the assembly of crown vassals that judged the king's peers and ratified major acts of state.,authored,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Council_of_Acre.jpg,https://en.wikipedia.org/wiki/High_Court_of_Jerusalem,
cour-des-bourgeois,Cour des Bourgeois,society,law,12th–13th c.,Burgess Court,"The non-noble court for Frankish townsfolk, handling commerce, urban property, and most criminal cases below the threshold of the Haute Cour.",authored,,https://upload.wikimedia.org/wikipedia/commons/e/ec/Plan_of_Acre._After_a_Drawing_by_Marino_Sanuto_%2811229880494%29.jpg,https://en.wikipedia.org/wiki/Assizes_of_Jerusalem,
assizes-of-jerusalem,Assizes of Jerusalem,society,law,compiled 13th c.,Assises de Jérusalem; Letters of the Holy Sepulchre (legendary),"The body of customary law of the Kingdom of Jerusalem, surviving mostly in 13th-century treatises composed in Cyprus after the kingdom had already lost most of its territory.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Ghent%2C_Ghent_University_Library_MS_Bibliotheek_Letteren_en_Wijsbegeerte-Handschriften_0021_fol._24v-25r_Code_of_Justinian.jpg/1280px-Ghent%2C_Ghent_University_Library_MS_Bibliotheek_Letteren_en_Wijsbegeerte-Handschriften_0021_fol._24v-25r_Code_of_Justinian.jpg,https://en.wikipedia.org/wiki/Assizes_of_Jerusalem,
fief,Fief / Fief de Soudée,society,law,12th–13th c.,Money fief; Land fief,A unit of land or income held from a lord in return for military service — the basic building block of the kingdom's feudal organisation.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Bayeux_Tapestry_scene23_Harold_sacramentum_fecit_Willelmo_duci.jpg/960px-Bayeux_Tapestry_scene23_Harold_sacramentum_fecit_Willelmo_duci.jpg,https://en.wikipedia.org/wiki/Fief,https://he.wikipedia.org/wiki/%D7%A4%D7%99%D7%99%D7%A3
liege-homage,Liege Homage,society,law,12th–13th c.,Hommage lige,"The personal oath by which a vassal bound himself to a lord above all other loyalties, the strongest tie in the feudal system.",authored,,https://upload.wikimedia.org/wikipedia/commons/e/e5/Hommage_au_Moyen_Age_-_miniature.jpg,https://en.wikipedia.org/wiki/Homage_(feudal),
regency-bailliage,Regency (bailliage),society,law,12th–13th c.,Bailli; Regent,"The interim government of the realm during a king's minority, absence, or incapacity — frequent in a kingdom whose rulers were repeatedly underage, female, leprous, or absentee.",authored,,https://upload.wikimedia.org/wikipedia/commons/d/d2/Balduin5.jpg,https://en.wikipedia.org/wiki/Officers_of_the_Kingdom_of_Jerusalem#Bailiff,
knights-templar,Knights Templar,orders,,c. 1119–1312,Order of the Temple; Pauperes commilitones Christi templique Salomonici,Military religious order founded c. 1119 to protect pilgrims on the road from Jaffa to Jerusalem; became one of the two great striking arms of the Crusader states and a major financial power across western Europe.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Bandeira_Templ%C3%A1ria.svg/960px-Bandeira_Templ%C3%A1ria.svg.png,https://en.wikipedia.org/wiki/Knights_Templar,https://he.wikipedia.org/wiki/%D7%9E%D7%A1%D7%93%D7%A8_%D7%90%D7%91%D7%99%D7%A8%D7%99_%D7%94%D7%99%D7%9B%D7%9C_%D7%A9%D7%9C%D7%9E%D7%94
knights-hospitaller,Knights Hospitaller,orders,,c. 1099–present (as Order of Malta),Order of Saint John; Hospitallers,"Originally a hospital fraternity in Jerusalem; militarised in the mid-12th century and became, alongside the Templars, the second great fighting order of the Crusader states.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Coat_of_arms_of_the_Knights_Hospitaller.svg/960px-Coat_of_arms_of_the_Knights_Hospitaller.svg.png,https://en.wikipedia.org/wiki/Knights_Hospitaller,
teutonic-order,Teutonic Order,orders,,founded 1190,Order of the Brothers of the German House of Saint Mary in Jerusalem,"German hospitaller-military order founded at Acre in 1190 during the Third Crusade; it later became famous chiefly for its conquest of pagan Prussia, but its origin and first headquarters were in the Holy Land.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Insignia_Germany_Order_Teutonic.svg/960px-Insignia_Germany_Order_Teutonic.svg.png,https://en.wikipedia.org/wiki/Teutonic_Order,https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%A1%D7%93%D7%A8_%D7%94%D7%98%D7%95%D7%95%D7%98%D7%95%D7%A0%D7%99
order-of-st-lazarus,Order of Saint Lazarus,orders,,12th–13th c.,Lepers of Saint Lazarus,"A small hospital and military order originally caring for lepers, including knights of the other orders who had contracted the disease; uniquely associated with the leper-king Baldwin IV.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_the_Order_of_Saint_Lazarus.svg/960px-Flag_of_the_Order_of_Saint_Lazarus.svg.png,https://en.wikipedia.org/wiki/Order_of_Saint_Lazarus,
