id,record_type,primary_name,alternative_names,medieval_names,modern_names,site_type,historical_category,title_or_designation,description,historical_significance,modern_location,latitude,longitude,coordinate_accuracy,modern_country,modern_region,crusader_state_or_polity,lordship_or_fief,accessibility,wikipedia_url,wikidata_id,primary_sources,secondary_sources,source_notes,uncertainty_notes,fortified_status,visible_remains,has_harbor,wikipedia_he_url,image_filename,crusaderatlas_url,landing_page_url
site/acre,site,Acre,'Akka,,,Capital city,Settlement,,"Acre was the Crusaders' greatest port. Like Jerusalem, it fell to Saladin in 1187; but the Third Crusade recovered it in 1191, and from then until 1291 it served as the de facto capital of the Kingdom of Jerusalem — exactly a hundred years. The siege that restored it, begun by Guy of Lusignan in August 1189 and completed by Richard the Lionheart and Philip II of France in July 1191, was the longest of the Crusades. A quarrel over banners nearly broke the crusade in half at its end: Leopold V of Austria had raised his standard on the captured walls alongside Richard's and Philip's, and Richard, judging him too low in rank to share the spoils on equal footing, ordered the Austrian banner torn down and thrown into the city ditch. Eighteen months later, as Richard was making his way home overland through Austrian territory, Leopold had him arrested and delivered to the Holy Roman Emperor; the ransom was set at 150,000 marks, roughly three times the annual royal revenue of England. The city kept the kingdom alive until the Mamluks captured it in 1291, ending the Crusader presence on the Levantine mainland. Beneath the Ottoman old town, the vaulted halls of the Hospitaller quarter — knights' refectory, hospital, and underground vaults — still survive and can be visited.",,"Acre, Israel",32.9208,35.0694,verified,Israel,,Kingdom of Jerusalem,Royal Domain - Acre,,"https://en.wikipedia.org/wiki/Acre,_Israel",Q126084,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 14)",coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,definite,unknown,yes,https://he.wikipedia.org/wiki/%D7%A2%D7%9B%D7%95,המצודה_בעכו_בפנים.jpg,https://crusaderatlas.com/?site=acre,https://crusaderatlas.com/sites/acre/
site/jerusalem,site,Jerusalem,al-Quds | Hierusalem | Yerushalayim | Royal Domain of Jerusalem,,,Capital city,Settlement,,"Jerusalem was the spiritual and political heart of the Crusader Kingdom from its bloody capture by Godfrey of Bouillon's army on 15 July 1099 until its surrender to Saladin in early October 1187, three months after the Frankish defeat at the Horns of Hattin on 4 July. The garrison, swollen by refugees, held out for about twelve days before Balian of Ibelin negotiated the city's surrender. Godfrey refused the title of king, styling himself Advocatus Sancti Sepulchri — Defender of the Holy Sepulchre; his brother Baldwin I was crowned first King of Jerusalem on Christmas Day 1100, though at Bethlehem rather than in Jerusalem itself. Over the next nine decades the city was ruled by a succession of eight kings and three queens, who expanded its defences and endowed the Crusader rebuilding of the Church of the Holy Sepulchre, reconsecrated on 15 July 1149 — exactly fifty years after the city's capture. After Hattin, Saladin allowed ransom and orderly evacuation for Christians who could pay; the High Court and chancery retreated to Tyre and then Acre. In February 1229, Emperor Frederick II negotiated the Treaty of Jaffa with the Ayyubid sultan al-Kamil — the diplomatic coup depicted in the illumination above — restoring Jerusalem to the Christians as an undefended, demilitarised city while Muslim control of the Haram al-Sharif was respected. Because Frederick had recently been excommunicated, the Patriarch of Jerusalem placed the Holy City under interdict and no clergy would officiate a coronation; on 18 March 1229 the emperor walked unescorted into the Church of the Holy Sepulchre, lifted the crown from the altar, and placed it on his own head, while Hermann of Salza, grand master of the Teutonic Order, read out the imperial declaration on his behalf. This second Latin tenure lasted only fifteen years: in the summer of 1244 a Khwarezmian army, hired by the Ayyubid sultan of Egypt as-Salih Ayyub, stormed the city and massacred or enslaved its Christian inhabitants, ending Frankish rule in Jerusalem forever. The kingdom's political life continued from Acre until 1291, but its capital was never again at the Holy Sepulchre.",,"Old City, Jerusalem",31.77833,35.23556,verified,Israel,,Kingdom of Jerusalem,Royal Domain - Jerusalem,,https://en.wikipedia.org/wiki/Kingdom_of_Jerusalem,Q55502,,,coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,definite,yes,,https://he.wikipedia.org/wiki/%D7%9E%D7%9E%D7%9C%D7%9B%D7%AA_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D,Friedrich_II._mit_Sultan_al-Kamil.jpg,https://crusaderatlas.com/?site=jerusalem,https://crusaderatlas.com/sites/jerusalem/
site/ateret-fortress-chastelet-vadum-iacob,site,Ateret Fortress (Chastelet / Vadum Iacob),Chastelet | le Chastelez | Vadum Iacob | Mezad Ateret | Ateret Fortress,,,Major castle / fortress,Fortification,,"The Castle of Jacob's Ford — Chastelet or Vadum Iacob — was a brand-new castle that King Baldwin IV began in 1178 on a mound beside the Jordan, at the point where the river could be forded on the road from Galilee to Damascus. Saladin attacked it in August 1179 before it was finished, and destroyed it after a short siege; hundreds of Templars were killed or captured. Israeli excavations have uncovered the unfinished fortifications and the bodies of the defenders exactly where they fell. The site is now the Ateret archaeological reserve near Gadot.",,"Ateret Fortress, Israel",33.00431,35.62757,verified,Israel,,Kingdom of Jerusalem,Principality of Galilee,,https://en.wikipedia.org/wiki/Jacob%27s_Ford,Q2916595,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 84)",coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value.,definite,yes,,https://he.wikipedia.org/wiki/%D7%9E%D7%A6%D7%93_%D7%A2%D7%AA%D7%A8%D7%AA,Ateret_general_view.JPG,https://crusaderatlas.com/?site=ateret-fortress-chastelet-vadum-iacob,https://crusaderatlas.com/sites/ateret-fortress-chastelet-vadum-iacob/
site/atlit-chateau-pelerin,site,Atlit (Château Pèlerin),Athlith | Pilgrims' Castle | Castrum Peregrinorum | Chastiau Pelerin | Castrum Filit Det,,,Major castle / fortress,Fortification,,"Atlit — the Castle of the Pilgrims (Château Pèlerin) — was built by the Templars from 1217 on a narrow sea-girt promontory south of Haifa, and became one of the largest and most sophisticated Crusader castles ever constructed. Its double landward walls, sea-level rock-cut ditch and massive inner towers made it essentially impregnable: it was the last Frankish stronghold on the Levantine mainland, evacuated only in August 1291, three months after Acre had already fallen. The site is now a closed Israeli naval base, but the towers are visible from the surrounding coast.",,"Atlit, Israel",32.70528,34.93389,verified,Israel,,Kingdom of Jerusalem,Lordship of Caesarea,,https://en.wikipedia.org/wiki/Ch%C3%A2teau_P%C3%A8lerin,Q597606,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 20)",coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,definite,yes,yes,https://he.wikipedia.org/wiki/%D7%9E%D7%91%D7%A6%D7%A8_%D7%A2%D7%AA%D7%9C%D7%99%D7%AA,Atlit_fortress001.jpg,https://crusaderatlas.com/?site=atlit-chateau-pelerin,https://crusaderatlas.com/sites/atlit-chateau-pelerin/
site/bait-jibrin-beit-guvrin,site,Bait Jibrin (Beit Guvrin),Bethgibelin | Beit Gibelin | Bersabea | Gybelin | Ybelin Hospitalariorum | Bet Guvrin | Eleutheropolis,,,Major castle / fortress,Fortification,,"Known to the Crusaders as Bethgibelin, this was one of four castles built around Ascalon in the 1130s to strangle the Fatimid garrison there. Granted to the Knights Hospitaller in 1136, it was a concentric fortress with a 50-metre-square inner ward and projecting corner towers. The castle fell to Saladin after Hattin in 1187 and was permanently lost to the Franks. Its ruins are preserved in Beit Guvrin-Maresha National Park, alongside Byzantine churches and vast bell-shaped caves.",,"Beit Guvrin, Israel",31.6069,34.8983,approximate,Israel,,Kingdom of Jerusalem,Royal Domain - Jerusalem,,https://en.wikipedia.org/wiki/Beit_Jibrin,Q556637,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 26-29)",coordinate status: uncertain; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Location is approximate. Coordinates flagged uncertain in source.,definite,yes,,https://he.wikipedia.org/wiki/%D7%91%D7%99%D7%AA_%D7%92%27%D7%99%D7%91%D7%A8%D7%99%D7%9F,Beyt-Govrin-346.jpg,https://crusaderatlas.com/?site=bait-jibrin-beit-guvrin,https://crusaderatlas.com/sites/bait-jibrin-beit-guvrin/
site/belmont-castle-suba-tzova,site,Belmont Castle (Suba / Tzova),Belmont | Zova,,,Major castle / fortress,Fortification,,"Belmont Castle was a Hospitaller fortress built in the 1160s on a hill west of Jerusalem, dominating the approach roads from the coastal plain. It had a rectangular inner ward, a polygonal outer ward, stables, a wine-press, cisterns and a vaulted passage down to its spring. Lost to Saladin after Hattin and never recovered by the Franks, its extensive ruins are today in a forested area above Kibbutz Tzuba.",,"Tzova, Israel",31.7847,35.1239,verified,Israel,,Kingdom of Jerusalem,Royal Domain - Jerusalem,,https://en.wikipedia.org/wiki/Suba_(village),Q7630688,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 95)",coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value.,definite,unknown,,https://he.wikipedia.org/wiki/%D7%A6%D7%95%D7%91%D7%94,Belmont_Castle.jpg,https://crusaderatlas.com/?site=belmont-castle-suba-tzova,https://crusaderatlas.com/sites/belmont-castle-suba-tzova/
site/belvoir-castle,site,Belvoir Castle,"Kaukab al-Hawa | Belvoir, Coquet",,,Major castle / fortress,Fortification,,"Belvoir — Kokhav HaYarden in Hebrew — is the best-preserved Crusader concentric castle in Israel. Perched 500 metres above the Jordan Valley, the Hospitaller fortress withstood an eighteen-month Ayyubid siege after the disaster at Hattin in 1187 and only surrendered on honourable terms in 1189, when the defenders were allowed to march out with their arms. Its massive walls, dry moat, inner and outer wards, and rounded corner towers are today the centrepiece of an Israeli national park.",,"Belvoir Fortress, Israel",32.59556,35.52139,verified,Israel,,Kingdom of Jerusalem,Principality of Galilee,,https://en.wikipedia.org/wiki/Belvoir_Fortress,Q1010980,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 32)",coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value.,definite,unknown,,https://he.wikipedia.org/wiki/%D7%9B%D7%95%D7%9B%D7%91_%D7%94%D7%99%D7%A8%D7%93%D7%9F,Bellvoir_Israel.jpg,https://crusaderatlas.com/?site=belvoir-castle,https://crusaderatlas.com/sites/belvoir-castle/
site/givat-titora,site,Givat Titora,Qalaat al-Tantura | Qul'at al-Tantura | Titora Hill,,,Major castle / fortress,Fortification,,"A small castle or road fortress above the Modi'in plain, known in Arabic as Qal'at al-Tantura and in Hebrew as Tel Titora. It likely guarded the road from the coastal plain up to Jerusalem. The masonry remains are modest but occupy a prominent hill now in the middle of modern Modi'in-Maccabim-Re'ut.",,"Givat Titora, Modi'in, Israel",31.90175,35.02225,verified,Israel,,Kingdom of Jerusalem,County of Jaffa and Ascalon,,https://en.wikipedia.org/wiki/Modi%27in,Q165867,,,coordinate status: changed; gazetteer page reference: not recovered from source OCR; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value. Fortified status not definitive (recorded as 'probable').,probable,partial,,https://he.wikipedia.org/wiki/%D7%92%D7%91%D7%A2%D7%AA_%D7%94%D7%AA%D7%99%D7%AA%D7%95%D7%A8%D7%94,Givat_Titora.jpg,https://crusaderatlas.com/?site=givat-titora,https://crusaderatlas.com/sites/givat-titora/
site/ibillin,site,Ibillin,Abelina | Evlayim,,,Major castle / fortress,Fortification,,The Frankish castle of Abelina stood on a hill above the modern Galilean town of Ibillin. It consisted of a central tower with a twin barrel-vaulted basement inside an enclosing wall; the rounded outer towers visible today are mostly later additions. The lordship of Abelina belonged to the influential Ibelin family for much of the twelfth century.,,"Ibillin, Israel",32.8225,35.19222,approximate,Israel,,Kingdom of Jerusalem,Royal Domain - Acre,,https://en.wikipedia.org/wiki/I%27billin,Q2915647,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 50)",coordinate status: uncertain; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Location is approximate. Coordinates flagged uncertain in source. Fortified status not definitive (recorded as 'probable').,probable,unknown,,https://he.wikipedia.org/wiki/%D7%90%D7%A2%D7%91%D7%9C%D7%99%D7%9F,Ibillin.jpg,https://crusaderatlas.com/?site=ibillin,https://crusaderatlas.com/sites/ibillin/
site/jezreel-tel-yizreel,site,Jezreel (Tel Yizre'el),Zir'in | Gezrael | Jezrael | Parvum Gerinum | Zaratn | Tel Yizra'el,,,Major castle / fortress,Fortification,,Tel Yizre'el overlooks the Jezreel Valley from a strategic ridge and had a small Crusader castle that belonged to the Templars by the 1180s. The valley was one of the main east-west corridors of the kingdom and was the route Saladin's army took in the summer of 1187 toward the disaster at Hattin.,,"Tel Jezreel, Israel",32.557853,35.327953,verified,Israel,,Kingdom of Jerusalem,Principality of Galilee,,https://en.wikipedia.org/wiki/Tel_Jezreel,Q2914898,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 54)",coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,definite,unknown,,https://he.wikipedia.org/wiki/%D7%AA%D7%9C%20%D7%99%D7%96%D7%A8%D7%A2%D7%90%D7%9C,"Tel Jezreel, Israel crusader tower.jpg",https://crusaderatlas.com/?site=jezreel-tel-yizreel,https://crusaderatlas.com/sites/jezreel-tel-yizreel/
